season,num_teams,games_per_team,total_regular_games,total_playoff_games,total_games,id_prefix
1997,8,28,112,3,115,10297
1998,10,30,150,8,158,10298
1999,12,32,192,10,202,10299
2000,16,32,256,16,272,10200
2001,16,32,256,18,274,10201
2002,16,32,256,17,273,10202
2003,14,34,238,19,257,10203
2004,13,34,221,19,240,10204
2005,13,34,221,17,238,10205
2006,14,34,238,19,257,10206
2007,13,34,221,21,242,10207
2008,14,34,238,21,259,10208
2009,13,34,221,21,242,10209
2010,12,34,204,16,220,10210
2011,12,34,204,19,223,10211
2012,12,34,204,19,223,10212
2013,12,34,204,17,221,10213
2014,12,34,204,18,222,10214
2015,12,34,204,21,225,10215
2016,12,34,204,16,220,10216
2017,12,34,204,15,219,10217
2018,12,34,204,17,221,10218
2019,12,34,204,16,220,10219
2020,12,22,132,15,147,10220
2021,12,32,192,17,209,10221
2022,12,36,216,23,239,10222
2023,12,40,240,20,260,10223
2024,12,40,240,22,262,10224
2025,13,44,286,0,286,10225